Date,Player ID,Player Name,Agent,Total Losses,Freeplay Rule,Freeplay Amount
2023-08-01,PYRTEST,TestPyr,Agent,-2300.0,10%,230.0
2023-07-24,pyr183,Hal,Gabe,-1100.0,10%,110.0
2023-07-31,pyr183,Hal,Gabe,-1210.0,10%,121.0
2023-08-21,pyr158,JakeL,Gabe,-1000.0,10%,100.0
2023-08-21,pyr158,JakeL,Gabe,-1000.0,10%,100.0
2023-08-28,pyr143,Cary,Gabe,-1025.0,10%,102.5
2023-08-28,pyr185,Chris2,Gabe,-1400.0,10%,140.0
2023-08-28,pyr143,Cary,Gabe,-1025.0,10%,102.5
2023-08-28,pyr185,Chris2,Gabe,-1400.0,10%,140.0
2023-09-11,pyr143,Cary,Gabe,-1721.0,10%,172.10000000000002
2023-09-11,pyr158,Pardo,Gabe,-1999.0,10%,199.9
2023-09-18,pyr158,Pardo,Gabe,-1999.0,10%,199.9
2023-09-18,pyr164,Jacob,Gabe,-1769.0,10%,176.9
2023-09-18,pyr158,Pardo,Gabe,-1999.0,10%,199.9
2023-09-18,pyr164,Jacob,Gabe,-1769.0,10%,176.9
2023-09-25,pyr158,Pardo,Gabe,-1999.0,10%,199.9
2023-09-25,pyr164,Jacob,Gabe,-1600.0,10%,160.0
2023-09-25,pyr158,Pardo,Gabe,-1749.0,10%,174.9
2023-09-25,pyr164,Jacob,Gabe,-1600.0,10%,160.0
2023-10-02,pyr122,Christian #5,Orso,-989.0,20%,197.8
2023-10-02,pyr179,Jeff,Orso,-699.0,20%,139.8
2023-10-02,pyr187,KevinGabe,Gabe,-670.0,20%,134.0
2023-10-09,pyr122,Christian #5,Orso,-803.0,20%,160.60000000000002
2023-10-09,pyr123,Christian #2,Orso,-727.0,20%,145.4
2023-10-09,pyr128,TylerL,Gabe,-1122.0,20%,224.4
2023-10-09,pyr143,Cary,Gabe,-701.0,20%,140.20000000000002
2023-10-09,pyr151,Max2,Gabe,-800.0,20%,160.0
2023-10-09,pyr198,Dozer,Orso,-1499.0,20%,299.8
2023-10-09,pyr199,Drew,Orso,-625.0,20%,125.0
2023-10-09,pyr200,Christian #7,Orso,-1499.0,20%,299.8
2023-10-16,pyr136,Mark,Gabe,-600.0,20%,120.0
2023-10-16,pyr150,Verlander,Orso,-716.0,20%,143.20000000000002
2023-10-16,pyr198,Dozer,Orso,-1999.0,20%,399.8
